------------
Topic 4 (1119 tokens)
------------
0.02082	111.00000	0.01000	school
0.01782	95.00000	0.01000	university
0.01763	94.00000	0.01000	national
0.01651	88.00000	0.01000	member
0.01501	80.00000	0.01000	two
0.01463	78.00000	0.01000	one
0.01295	69.00000	0.01000	october
0.01276	68.00000	0.01000	september
0.01182	63.00000	0.01000	life
0.01051	56.00000	0.01000	best
0.01032	55.00000	0.01000	august
0.01032	55.00000	0.01000	high
0.01013	54.00000	0.01000	made
0.01013	54.00000	0.01000	november
0.01013	54.00000	0.01000	house
0.00957	51.00000	0.01000	second
0.00919	49.00000	0.01000	reported
0.00901	48.00000	0.01000	time
0.00901	48.00000	0.01000	joined
0.00882	47.00000	0.01000	served
0.00882	47.00000	0.01000	received
0.00863	46.00000	0.01000	currently
0.00863	46.00000	0.01000	many
0.00863	46.00000	0.01000	early
0.00844	45.00000	0.01000	international
0.00844	45.00000	0.01000	home
0.00826	44.00000	0.01000	2008
0.00826	44.00000	0.01000	several
0.00826	44.00000	0.01000	three
0.00807	43.00000	0.01000	began
0.00807	43.00000	0.01000	january
0.00807	43.00000	0.01000	john
0.00769	41.00000	0.01000	2007
0.00769	41.00000	0.01000	four
0.00751	40.00000	0.01000	july
0.00732	39.00000	0.01000	march
0.00732	39.00000	0.01000	place
0.00713	38.00000	0.01000	association
0.00713	38.00000	0.01000	california
0.00713	38.00000	0.01000	2006
0.00713	38.00000	0.01000	former
0.00657	35.00000	0.01000	day
0.00638	34.00000	0.01000	started
0.00638	34.00000	0.01000	political
0.00619	33.00000	0.01000	2005
0.00619	33.00000	0.01000	moved
------------
Topic 1 (1498 tokens)
------------
0.04775	72.00000	0.01000	village
0.03847	58.00000	0.01000	white
0.03051	46.00000	0.01000	county
0.02985	45.00000	0.01000	species
0.02852	43.00000	0.01000	st.
0.02719	41.00000	0.01000	south
0.02719	41.00000	0.01000	family
0.02454	37.00000	0.01000	new
0.02454	37.00000	0.01000	also
0.02322	35.00000	0.01000	road
0.02255	34.00000	0.01000	central
0.02056	31.00000	0.01000	built
0.01990	30.00000	0.01000	church
0.01990	30.00000	0.01000	known
0.01857	28.00000	0.01000	park
0.01791	27.00000	0.01000	roman
0.01725	26.00000	0.01000	per
0.01658	25.00000	0.01000	name
0.01526	23.00000	0.01000	parish
0.01194	18.00000	0.01000	average
0.01194	18.00000	0.01000	regional
0.01128	17.00000	0.01000	two
0.01128	17.00000	0.01000	eastern
0.01128	17.00000	0.01000	light
0.01062	16.00000	0.01000	missouri
0.01062	16.00000	0.01000	york
0.01062	16.00000	0.01000	major
0.00995	15.00000	0.01000	near
0.00929	14.00000	0.01000	approximately
0.00929	14.00000	0.01000	large
0.00929	14.00000	0.01000	australia
0.00929	14.00000	0.01000	victoria
0.00863	13.00000	0.01000	act
0.00863	13.00000	0.01000	total
0.00796	12.00000	0.01000	bishop
0.00796	12.00000	0.01000	served
0.00796	12.00000	0.01000	bath
0.00796	12.00000	0.01000	area.
0.00796	12.00000	0.01000	base
0.00796	12.00000	0.01000	communities
0.00730	11.00000	0.01000	via
0.00730	11.00000	0.01000	described
0.00730	11.00000	0.01000	mary
0.00730	11.00000	0.01000	former
0.00730	11.00000	0.01000	club
0.00664	10.00000	0.01000	ranges
0.00664	10.00000	0.01000	made
0.00664	10.00000	0.01000	famous
0.00664	10.00000	0.01000	metres
0.00597	9.00000	0.01000	found
